orderID,dateOfOrderPlacement,dateOfOrderArrival,licenseNumber
61,2017-08-24 20:01:13,2019-06-24 20:04:41,583
62,2016-06-26 19:27:12,2019-02-04 08:05:36,815
63,2016-06-26 04:07:53,2019-03-26 09:16:29,632
64,2017-06-21 22:01:53,2018-10-13 01:26:17,280
65,2015-09-06 13:33:41,2020-02-22 00:59:52,881
66,2018-01-30 22:06:06,2019-09-13 12:32:54,317
67,2016-04-06 10:58:13,2019-05-10 13:03:38,79
68,2017-03-18 10:20:58,2018-10-11 07:41:30,519
69,2018-03-23 02:19:40,2020-07-17 22:24:59,77
70,2017-02-02 08:33:08,2019-08-25 19:26:34,310
71,2016-04-27 12:55:23,2019-09-25 19:29:35,690
72,2015-09-16 07:55:19,2018-09-04 01:10:31,509
73,2015-11-12 07:00:47,2020-03-27 14:18:26,529
74,2018-04-29 12:13:52,2021-03-22 10:09:38,401
75,2017-09-13 08:05:35,2020-04-28 23:20:58,338
76,2016-02-01 15:57:33,2021-02-08 11:27:09,856
77,2015-07-05 00:11:19,2019-06-22 17:20:21,395
78,2016-10-03 14:13:09,2020-05-03 06:27:16,534
79,2016-07-22 10:33:48,2021-02-06 13:20:45,883
80,2017-06-14 01:52:43,2020-06-03 16:36:19,85
81,2017-12-10 07:11:59,2019-02-21 03:45:21,868
82,2016-04-29 10:59:38,2019-01-14 05:17:34,549
83,2016-09-14 15:57:07,2020-06-25 23:11:15,412
84,2017-01-21 07:52:30,2021-05-25 20:10:56,410
85,2017-01-17 07:12:49,2021-04-29 21:49:46,27
86,2016-05-20 02:19:59,2018-11-26 12:34:49,171
87,2017-02-03 06:33:24,2020-07-16 15:41:11,60
88,2017-10-28 19:02:03,2021-05-01 00:52:31,978
89,2016-06-02 18:41:12,2018-08-20 23:17:19,846
90,2016-12-11 17:34:05,2020-07-04 23:54:12,682
91,2017-02-20 19:05:56,2020-08-18 09:38:37,904
92,2017-10-03 17:48:00,2019-04-22 21:20:57,569
93,2017-07-31 04:27:06,2018-07-10 23:41:10,929
94,2016-02-02 01:49:38,2020-12-21 06:10:19,59
95,2015-09-06 15:59:14,2018-11-28 07:33:56,841
96,2016-02-02 11:33:47,2020-02-17 15:36:20,777
97,2018-03-21 17:18:58,2019-04-29 10:37:42,456
98,2018-03-07 02:40:03,2020-08-17 14:29:26,625
99,2016-08-08 14:58:54,2019-06-21 20:47:16,175
100,2015-10-26 19:30:17,2020-12-12 04:59:47,725
101,2017-06-29 06:07:19,2020-11-05 09:44:01,112
102,2018-01-14 04:56:44,2019-08-26 07:43:15,282
103,2016-05-14 05:27:53,2018-09-09 21:38:16,879
104,2017-07-28 12:15:01,2020-12-23 18:39:24,375
105,2018-03-24 13:05:16,2019-11-24 16:26:27,616
106,2016-03-30 20:33:00,2020-02-17 03:02:00,576
107,2017-09-04 09:23:27,2021-06-03 20:26:14,231
108,2016-03-04 02:36:46,2018-11-24 14:49:00,124
109,2015-08-10 00:21:36,2019-03-15 09:16:50,404
110,2015-10-30 15:37:41,2020-08-19 03:19:38,257
111,2017-04-25 01:01:20,2021-02-23 05:45:11,746
112,2017-12-06 11:25:32,2020-03-02 18:01:15,263
113,2017-02-05 23:18:47,2019-03-04 04:07:56,505
114,2015-12-19 00:28:13,2018-11-02 11:26:35,416
115,2017-11-26 06:16:14,2020-11-13 11:00:03,405
116,2018-05-02 06:59:06,2019-10-03 23:21:07,834
117,2016-04-26 19:48:43,2021-03-15 22:14:22,868
118,2016-10-28 04:32:51,2020-07-28 23:27:23,62
119,2016-01-01 14:43:45,2019-08-23 17:34:32,988
120,2015-08-26 21:30:28,2021-03-11 01:54:36,961
121,2018-03-06 22:07:08,2020-10-06 20:51:17,585
122,2017-09-02 15:15:12,2019-05-18 08:19:48,596
123,2017-08-10 18:54:34,2019-04-08 18:09:55,717
124,2016-07-31 14:21:12,2021-02-22 01:33:55,594
125,2018-01-23 11:48:11,2021-01-19 16:41:45,739
126,2017-05-16 22:09:42,2019-01-31 12:18:19,49
127,2018-03-12 19:01:34,2018-10-04 02:32:56,739
128,2016-04-26 22:44:12,2018-09-15 01:15:39,308
129,2016-04-11 19:29:24,2019-03-12 11:26:22,560
130,2016-05-16 20:09:03,2021-02-06 14:47:08,245
131,2017-02-04 07:48:34,2019-02-12 22:30:41,123
132,2015-10-11 14:04:35,2019-05-28 22:03:38,618
133,2017-07-25 20:29:32,2019-03-30 21:14:33,924
134,2017-05-04 08:05:44,2019-11-19 05:15:21,57
135,2016-10-22 01:17:16,2019-11-12 23:27:21,938
136,2016-10-02 20:48:45,2020-02-03 03:52:47,460
137,2018-04-13 09:13:16,2019-06-28 03:03:06,910
138,2017-06-28 03:34:02,2018-10-15 20:57:17,15
139,2016-12-15 16:25:05,2021-03-09 02:49:54,982
140,2017-08-26 19:57:42,2020-07-18 17:00:58,373
141,2016-03-14 11:20:59,2019-07-18 17:09:28,647
142,2016-07-02 14:33:42,2018-10-30 14:06:01,912
143,2017-08-05 15:36:59,2019-11-27 23:15:59,465
144,2016-03-31 21:18:55,2020-07-30 00:33:54,669
145,2015-10-22 12:38:58,2020-08-30 22:51:11,180
146,2017-02-28 07:16:37,2019-03-25 05:21:09,589
147,2016-07-11 07:48:21,2021-03-27 17:38:32,364
148,2015-12-17 02:13:54,2019-04-25 10:16:23,326
149,2016-01-01 12:59:24,2019-02-09 10:21:41,584
150,2017-06-06 12:53:06,2020-05-14 06:57:11,317
151,2016-11-28 16:59:32,2020-01-29 09:15:02,498
152,2016-03-21 11:38:43,2021-02-08 14:23:27,653
153,2017-07-18 05:06:26,2019-04-27 22:06:22,814
154,2016-12-21 20:07:45,2021-03-05 09:58:31,605
155,2017-11-10 00:28:00,2021-05-09 03:09:33,242
156,2016-08-31 02:28:07,2020-03-31 20:28:04,822
157,2016-08-17 12:45:38,2020-08-11 07:41:11,710
158,2016-04-25 05:02:35,2019-04-21 01:26:16,421
159,2018-01-14 04:39:15,2019-07-04 21:42:32,716
160,2018-05-23 00:26:25,2018-10-23 13:15:42,487
161,2017-08-09 12:41:54,2020-09-17 18:45:05,130
162,2015-10-30 03:50:30,2018-10-17 19:08:09,924
163,2015-09-05 06:45:37,2021-03-18 00:27:12,135
164,2018-04-17 15:01:06,2018-07-03 22:07:32,975
165,2017-06-04 15:29:29,2020-12-28 07:52:15,115
166,2017-09-13 20:25:18,2020-12-21 00:51:13,976
167,2017-02-02 01:48:25,2019-04-06 20:31:50,816
168,2017-07-02 19:37:18,2019-04-09 23:46:47,129
169,2016-05-06 10:18:37,2019-02-22 17:55:14,46
170,2018-03-19 14:01:16,2019-05-12 12:58:58,52
171,2016-04-23 07:20:52,2020-10-05 04:48:46,633
172,2018-01-14 19:09:30,2019-04-18 22:32:17,177
173,2016-03-17 00:24:38,2021-01-29 07:35:11,701
174,2017-03-09 11:20:56,2020-05-01 13:31:41,108
175,2015-11-18 03:38:57,2020-10-05 08:53:35,998
176,2017-10-19 06:22:29,2020-08-15 02:17:10,987
177,2015-08-18 17:51:18,2020-02-01 16:41:35,782
178,2015-10-14 11:02:49,2021-03-14 11:16:35,680
179,2015-08-09 01:51:53,2019-08-23 02:46:11,864
180,2016-05-05 04:18:51,2019-09-28 07:10:08,903
181,2017-04-26 12:19:58,2019-10-21 19:35:03,934
182,2016-10-01 07:51:23,2018-06-10 08:26:08,888
183,2016-10-03 12:45:17,2021-04-03 12:58:10,300
184,2018-05-29 09:11:57,2019-07-11 02:09:43,745
185,2017-09-18 10:50:02,2020-03-20 21:35:21,155
186,2017-07-22 08:05:50,2018-09-23 03:24:13,125
187,2015-12-03 01:59:54,2021-04-30 07:59:52,159
188,2018-05-28 20:44:45,2019-05-30 14:44:19,628
189,2015-08-29 05:04:31,2018-10-28 06:28:15,330
190,2016-06-06 00:34:40,2020-11-12 00:39:08,890
191,2015-12-01 00:14:06,2018-10-16 10:54:08,492
192,2017-04-19 17:53:39,2019-06-17 18:19:15,564
193,2016-08-13 05:29:32,2021-01-17 05:49:37,278
194,2016-10-06 22:31:01,2020-05-29 23:04:16,865
195,2017-02-02 22:11:29,2019-09-25 17:59:59,348
196,2017-01-31 20:45:42,2019-02-23 04:35:35,433
197,2017-10-07 00:11:32,2018-12-05 23:57:16,558
198,2016-05-23 06:57:03,2019-05-03 18:17:49,344
199,2015-10-12 19:11:25,2020-11-08 15:13:09,155
200,2016-01-29 18:46:38,2020-06-22 14:51:10,516
201,2018-05-26 13:58:08,2018-06-23 22:08:42,979
202,2016-06-04 00:39:16,2019-02-15 03:33:50,427
203,2017-02-27 04:21:01,2020-05-28 11:21:03,185
204,2015-10-26 10:19:22,2020-07-23 13:12:56,630
205,2017-11-12 19:57:37,2020-02-28 01:01:41,758
206,2015-12-01 03:54:48,2021-05-19 00:28:17,941
207,2016-01-14 06:02:13,2018-10-21 23:26:41,216
208,2017-07-21 17:55:57,2019-07-17 23:10:56,957
209,2017-06-11 14:58:46,2018-09-12 05:17:29,788
210,2016-07-12 17:40:23,2019-09-20 16:21:03,865
211,2015-07-03 21:57:09,2018-11-16 10:48:39,537
212,2017-05-20 10:05:15,2019-06-23 06:00:53,43
213,2015-11-16 03:18:43,2021-05-30 04:30:21,203
214,2015-09-22 08:59:44,2021-04-09 16:17:45,293
215,2015-08-28 10:03:42,2020-02-12 22:42:24,854
216,2017-09-10 02:53:24,2019-11-30 16:06:04,484
217,2016-04-19 18:08:55,2020-05-29 12:06:09,372
218,2018-04-27 06:25:31,2019-01-06 11:20:16,728
219,2017-03-10 23:46:35,2020-03-25 23:25:07,258
220,2017-03-16 16:43:21,2019-05-29 03:51:58,684
221,2016-02-01 20:06:19,2019-08-01 13:52:28,559
222,2016-07-10 17:52:27,2021-05-11 23:01:14,465
223,2017-09-07 16:47:14,2019-03-05 22:34:27,578
224,2016-01-21 13:39:34,2020-01-15 23:53:25,640
225,2015-07-04 22:36:40,2019-05-31 23:14:39,868
226,2016-11-06 09:14:04,2021-01-18 11:11:36,511
227,2016-05-01 22:22:19,2019-09-07 14:57:10,760
228,2017-12-11 01:45:00,2020-01-17 13:26:43,980
229,2018-06-05 11:08:25,2020-01-29 20:21:57,214
230,2016-10-09 03:23:21,2019-07-03 09:52:51,217
231,2017-11-24 10:00:11,2021-02-16 23:52:01,580
232,2016-07-09 23:44:46,2019-03-06 19:55:51,666
233,2018-05-23 09:26:44,2021-03-06 18:49:06,574
234,2015-07-21 23:58:04,2021-02-05 13:19:46,819
235,2015-06-22 14:32:33,2019-02-19 22:57:58,355
236,2015-08-31 14:44:30,2019-08-12 08:42:53,333
237,2015-08-25 08:10:38,2019-12-20 16:25:44,903
238,2016-05-22 12:53:22,2021-04-11 02:25:52,750
239,2017-12-12 05:10:36,2020-01-01 23:14:36,496
240,2018-05-13 20:16:00,2020-08-07 03:06:11,469
241,2016-03-12 06:22:15,2019-01-18 19:46:03,989
242,2016-09-05 15:39:33,2021-03-15 07:14:40,867
243,2018-01-24 04:52:09,2019-01-29 04:43:18,456
244,2017-09-07 07:13:50,2020-06-04 06:24:02,182
245,2018-04-07 20:14:53,2020-08-24 12:33:41,885
246,2015-10-03 11:00:38,2020-04-14 20:41:14,201
247,2017-12-29 19:17:00,2018-11-21 15:25:47,932
248,2015-12-25 13:23:27,2019-03-26 03:59:45,327
249,2016-10-03 12:51:10,2018-09-20 17:47:06,85
250,2017-05-24 19:01:50,2020-12-12 02:12:34,167
251,2017-09-15 12:21:23,2020-12-24 07:08:59,275
252,2017-03-16 06:56:30,2019-08-12 16:30:49,501
253,2016-10-27 07:16:53,2020-09-06 00:33:14,209
254,2015-06-20 15:42:59,2020-06-03 15:27:36,928
255,2016-10-30 07:29:16,2021-03-24 00:18:43,958
256,2016-05-03 18:53:49,2020-12-11 23:37:45,467
257,2017-09-24 06:44:41,2020-09-14 17:53:49,914
258,2016-02-06 04:10:58,2019-01-02 22:36:04,270
259,2016-12-01 23:01:20,2020-01-13 19:20:29,53
260,2016-09-05 11:18:28,2018-11-04 16:07:17,582
261,2015-11-30 14:05:47,2018-07-24 11:46:23,722
262,2017-01-13 20:26:35,2020-10-25 08:04:23,743
263,2016-05-13 23:30:12,2018-07-26 01:51:51,335
264,2017-10-22 05:34:37,2019-06-13 00:11:22,241
265,2016-10-30 20:32:24,2019-10-04 21:12:04,625
266,2016-01-30 23:31:08,2019-01-21 14:40:28,822
267,2017-11-04 18:08:39,2021-04-23 23:50:24,591
268,2017-10-17 10:38:37,2019-05-02 15:35:46,163
269,2017-08-28 20:52:11,2019-04-21 16:33:19,769
270,2016-12-28 22:57:51,2019-08-30 13:10:43,779
271,2015-09-30 06:28:58,2019-12-24 11:12:35,715
272,2015-11-17 13:00:33,2018-06-08 23:08:42,598
273,2018-01-23 12:33:49,2019-05-22 14:22:24,302
274,2016-04-22 13:40:35,2018-10-15 03:36:12,599
275,2016-08-13 12:20:10,2019-10-14 12:21:01,145
276,2015-09-11 06:22:09,2018-10-20 09:21:37,274
277,2016-05-29 10:22:15,2018-07-09 19:19:00,429
278,2017-04-15 22:14:54,2020-02-19 11:29:01,61
279,2016-02-01 00:08:32,2021-03-05 04:32:11,857
280,2018-03-03 18:15:15,2019-10-10 05:40:49,688
281,2016-05-23 18:13:10,2021-01-17 06:41:12,996
282,2018-02-26 06:42:08,2018-10-09 20:52:22,108
283,2017-12-06 13:45:48,2019-10-22 05:01:13,951
284,2015-06-16 17:54:59,2019-07-20 04:13:05,528
285,2016-01-19 11:15:36,2020-07-07 09:23:57,647
286,2018-04-17 22:25:11,2019-08-21 19:25:48,624
287,2016-10-19 11:29:12,2020-01-02 03:02:21,384
288,2017-05-08 00:06:43,2019-05-24 05:53:18,653
289,2018-01-22 01:40:19,2021-03-07 12:48:04,95
290,2015-09-22 23:52:16,2019-01-06 08:46:20,61
291,2016-12-15 19:04:48,2019-05-18 04:58:58,816
292,2017-04-30 16:05:32,2021-05-27 07:09:11,532
293,2016-08-05 00:56:14,2021-03-26 05:03:31,67
294,2017-03-27 02:58:48,2020-01-25 21:26:48,785
295,2015-08-08 22:58:41,2020-05-04 21:59:18,102
296,2015-06-10 04:14:06,2021-02-16 04:26:33,608
297,2018-05-21 05:06:36,2018-10-10 08:18:53,570
298,2015-06-07 12:38:18,2019-03-11 19:54:18,376
299,2017-04-03 17:17:22,2019-01-30 21:52:05,446
300,2015-07-04 02:04:57,2020-11-04 19:50:56,591
301,2016-08-09 03:53:07,2021-04-05 13:10:43,698
302,2016-06-30 09:59:01,2019-10-25 20:19:00,260
303,2015-10-14 19:12:00,2020-12-20 17:00:06,523
304,2016-04-14 12:35:51,2021-04-29 20:39:10,591
305,2017-03-02 04:50:03,2021-02-01 07:22:50,299
306,2017-10-29 20:57:53,2020-06-11 04:55:06,198
307,2018-02-13 21:25:44,2021-03-14 07:39:57,774
308,2016-06-23 23:23:08,2021-05-06 22:15:12,688
309,2016-10-29 03:27:52,2019-05-15 23:01:22,154
310,2017-03-07 05:27:19,2018-06-18 05:01:15,444
311,2017-09-27 00:08:46,2020-08-06 17:55:44,566
312,2017-05-03 00:43:30,2019-11-03 22:08:57,205
313,2017-09-21 12:18:43,2019-02-06 07:12:02,437
314,2016-01-06 05:34:11,2019-07-27 18:37:23,566
315,2017-01-06 17:28:46,2019-12-25 09:28:47,845
316,2016-07-16 03:51:56,2020-09-23 10:14:40,682
317,2016-10-17 09:26:12,2020-05-02 18:08:33,803
318,2017-12-05 01:58:55,2019-01-21 19:03:09,223
319,2017-11-09 15:01:28,2020-05-10 15:52:54,891
320,2018-03-06 07:50:29,2018-08-22 02:50:24,355
321,2017-11-15 18:19:54,2020-05-25 23:31:05,245
322,2015-12-09 15:21:22,2021-05-17 09:43:39,929
323,2016-02-24 04:11:09,2019-05-25 11:10:48,826
324,2018-05-05 14:53:34,2018-07-08 12:24:42,193
325,2016-01-14 10:34:54,2021-01-02 15:53:45,420
326,2016-07-30 10:36:48,2019-01-12 00:14:59,575
327,2017-02-12 02:10:50,2019-12-18 01:20:36,180
328,2017-11-23 03:23:56,2021-02-01 18:58:15,577
329,2016-10-31 18:19:52,2019-03-21 13:58:38,454
330,2017-02-17 12:49:28,2020-03-21 22:24:07,865
331,2016-03-21 09:57:34,2019-08-09 13:50:30,179
332,2018-06-06 20:42:44,2020-05-11 01:56:14,10
333,2018-05-04 01:05:23,2021-06-05 02:56:57,995
334,2017-01-13 23:50:23,2020-08-22 08:42:35,601
335,2018-06-03 19:53:42,2019-09-28 02:59:58,984
336,2017-02-18 15:20:40,2020-02-05 00:17:02,923
337,2015-06-29 00:07:53,2020-08-09 16:32:17,514
338,2015-12-06 04:52:50,2019-11-04 09:15:24,710
339,2015-07-17 10:22:37,2020-03-08 04:05:10,770
340,2018-01-26 19:46:22,2021-05-08 20:52:08,508
341,2018-05-19 01:32:48,2019-10-03 01:06:10,344
342,2016-11-12 00:30:29,2018-08-09 09:58:30,287
343,2018-01-27 16:24:42,2019-02-11 08:04:24,129
344,2018-04-01 09:58:39,2020-02-13 22:21:39,101
345,2018-05-22 09:47:49,2019-10-22 21:20:18,315
346,2016-01-23 01:30:40,2018-12-22 19:53:01,255
347,2017-06-08 01:28:41,2018-07-23 06:37:58,586
348,2017-07-05 18:37:56,2019-07-16 21:37:40,864
349,2015-09-16 22:25:06,2019-01-24 13:59:24,479
350,2017-11-09 17:48:51,2021-04-10 08:17:21,962
351,2016-07-05 18:00:37,2018-07-18 08:19:20,771
352,2016-02-17 19:49:54,2019-08-02 02:28:37,676
353,2015-12-22 11:26:06,2020-04-22 18:27:49,614
354,2018-02-12 20:06:37,2019-11-04 05:49:00,613
355,2016-02-10 18:54:02,2020-01-12 14:02:08,944
356,2015-10-07 23:05:03,2019-10-25 12:11:56,513
357,2017-04-25 09:27:57,2018-11-21 14:16:49,904
358,2017-08-09 06:58:54,2020-11-14 09:14:41,776
359,2018-03-04 18:52:41,2020-03-17 02:28:34,515
360,2016-12-09 13:08:53,2020-05-05 05:53:42,729
361,2016-03-25 14:07:01,2018-12-07 19:58:08,684
362,2016-07-17 02:55:13,2020-08-04 02:21:25,489
363,2016-07-30 06:31:41,2021-02-10 18:53:50,383
364,2016-10-05 11:30:42,2020-08-02 22:32:39,564
365,2018-03-31 13:13:26,2019-02-14 07:27:58,179
366,2017-09-11 22:10:19,2021-03-14 20:14:12,168
367,2015-08-31 10:22:51,2020-01-07 18:03:09,619
368,2018-06-01 06:32:39,2019-08-08 11:08:02,568
369,2015-12-01 00:40:33,2020-02-16 09:11:53,462
370,2015-11-06 15:00:28,2021-03-29 16:22:15,567
371,2017-04-21 08:16:40,2018-06-12 10:45:57,43
372,2017-03-09 07:24:12,2020-07-29 10:05:40,675
373,2017-11-18 08:57:47,2018-08-05 22:39:05,292
374,2015-06-23 04:56:17,2020-05-09 22:08:19,403
375,2017-07-07 10:06:24,2020-09-01 20:30:52,294
376,2016-12-11 20:32:01,2020-07-14 22:40:10,402
377,2017-08-24 13:17:55,2020-05-07 18:06:14,661
378,2015-11-13 12:46:55,2018-07-24 04:36:23,967
379,2018-04-12 20:13:17,2021-04-15 19:33:19,285
380,2016-06-12 21:35:49,2018-09-02 04:16:53,348
381,2017-02-01 02:50:19,2020-07-01 17:45:54,615
382,2015-08-13 09:59:23,2019-09-07 05:23:46,252
383,2015-12-23 16:40:55,2019-03-28 05:47:39,893
384,2017-08-02 03:54:48,2018-07-05 12:34:28,606
385,2016-03-18 05:32:20,2020-01-19 08:18:06,679
386,2016-04-28 21:37:02,2020-01-13 15:11:36,96
387,2017-04-28 02:04:04,2019-12-27 23:16:27,392
388,2015-08-19 12:03:10,2020-01-05 04:55:12,588
389,2017-01-23 15:06:40,2019-09-30 08:41:43,587
390,2016-01-21 14:43:28,2020-01-17 06:43:29,719
391,2016-11-07 01:00:14,2019-01-10 03:34:49,74
392,2015-07-18 01:02:54,2019-06-17 03:59:11,470
393,2016-08-11 08:18:46,2021-04-19 04:48:54,455
394,2017-07-07 02:13:26,2019-11-22 07:33:15,378
395,2018-03-02 04:53:46,2020-05-31 19:08:10,939
396,2017-02-05 18:26:44,2020-01-28 15:20:10,755
397,2016-05-09 02:19:39,2020-09-25 01:29:15,120
398,2015-12-26 05:04:13,2020-06-01 13:57:27,628
399,2017-04-19 00:23:19,2018-06-27 03:28:34,691
400,2016-07-13 23:11:54,2020-04-22 15:39:03,67
401,2017-03-14 23:17:02,2021-05-15 08:24:21,992
402,2017-06-13 02:49:43,2018-12-11 10:57:42,712
403,2015-12-16 06:45:32,2020-05-21 09:08:38,954
404,2016-03-25 13:19:44,2019-09-03 02:00:03,946
405,2015-09-26 04:12:27,2019-06-02 06:04:24,634
406,2017-01-09 01:40:18,2020-11-09 21:08:21,255
407,2016-02-12 10:26:31,2020-01-23 12:01:35,554
408,2016-01-25 02:43:50,2019-10-10 05:49:03,928
409,2016-01-24 07:55:33,2020-04-11 14:45:36,202
410,2017-07-21 18:37:15,2019-12-28 06:38:46,475
411,2018-04-16 05:04:25,2020-06-04 01:43:23,654
412,2017-07-08 02:40:01,2021-03-18 04:25:29,237
413,2016-06-11 01:19:04,2021-04-08 12:38:09,919
414,2017-03-30 02:08:34,2019-02-06 08:13:10,967
415,2016-05-01 07:08:50,2018-09-07 21:08:36,985
416,2016-03-22 16:48:12,2020-09-07 00:45:59,903
417,2016-05-15 22:21:52,2020-11-04 01:30:39,259
418,2015-06-18 17:05:56,2020-05-27 03:57:01,900
419,2016-10-03 11:49:12,2019-11-13 21:15:02,64
420,2016-03-14 16:02:04,2019-11-05 01:41:53,929
421,2016-01-05 03:30:04,2019-04-20 20:25:16,56
422,2015-08-30 12:58:15,2018-10-27 03:51:07,869
423,2015-07-26 05:41:06,2019-03-27 17:38:27,845
424,2017-08-18 12:03:53,2019-11-10 21:25:45,750
425,2016-01-26 13:13:59,2019-07-30 08:32:40,29
426,2015-10-22 18:35:28,2021-05-18 05:31:34,285
427,2018-03-15 02:51:02,2018-06-16 15:55:55,455
428,2016-04-09 05:33:43,2019-01-19 01:11:31,752
429,2017-03-13 16:19:29,2020-03-27 22:08:51,34
430,2015-10-10 05:23:04,2019-03-28 21:59:15,146
431,2015-06-24 14:24:47,2020-11-30 08:14:31,358
432,2018-01-10 08:47:13,2020-05-31 18:32:45,38
433,2017-11-25 03:14:51,2021-05-04 13:22:30,201
434,2015-11-28 01:47:31,2019-03-23 10:24:38,745
435,2017-04-24 09:03:59,2018-09-12 20:47:20,81
436,2018-05-07 12:08:14,2020-12-28 17:07:56,674
437,2017-12-21 22:27:01,2019-01-31 10:04:51,667
438,2016-05-17 15:24:17,2019-02-07 10:57:28,658
439,2017-11-01 02:38:52,2020-05-03 19:54:15,246
440,2018-03-12 12:19:35,2020-07-27 03:45:15,924
441,2016-10-28 01:39:05,2021-04-24 11:25:15,561
442,2016-01-20 00:10:13,2019-07-20 19:17:28,888
443,2015-09-11 00:55:19,2019-12-31 15:18:58,911
444,2015-12-06 22:35:14,2020-07-27 10:48:37,477
445,2017-02-24 05:20:39,2019-01-13 12:34:59,676
446,2017-01-28 18:38:09,2020-07-23 04:58:44,504
447,2018-02-06 08:31:54,2019-11-09 11:55:44,799
448,2016-02-16 10:37:22,2021-01-18 19:45:06,477
449,2016-11-02 22:50:07,2020-07-31 00:40:10,676
450,2016-10-08 19:26:43,2021-02-26 13:58:32,253
451,2016-03-24 18:28:07,2020-11-09 04:58:49,919
452,2016-05-03 20:34:50,2018-10-30 16:37:09,971
453,2016-03-14 17:54:16,2021-05-25 19:26:24,978
454,2017-10-09 03:17:44,2018-10-06 15:22:42,611
455,2016-08-31 08:16:47,2020-11-29 19:40:19,145
456,2016-10-20 08:43:36,2021-05-06 18:33:00,512
457,2017-10-16 18:33:00,2019-04-16 09:26:36,365
458,2015-12-17 05:23:12,2021-01-21 10:51:33,93
459,2018-03-07 15:39:05,2019-03-15 18:36:22,386
460,2016-09-10 08:37:44,2019-08-30 02:18:23,969
461,2016-03-05 00:04:06,2020-11-20 11:56:15,496
462,2016-07-10 12:16:47,2019-05-07 08:17:45,246
463,2016-06-11 04:13:16,2020-11-26 08:34:07,188
464,2018-04-19 08:45:47,2020-11-28 09:45:50,223
